brand,model,modification,front_wheel,rear_wheel
ALFA ROMEO,147,1.9 JTDM MT,215/45R17,215/45R17
ALFA ROMEO,147,2.0 TS SELESPEED,215/45R17,215/45R17
ALFA ROMEO,159,1.9 JTDM AT,225/50R17,225/50R17
ALFA ROMEO,159,2.4 JTDM AT,225/50R17,225/50R17
ALFA ROMEO,GT,2.0 JTS SELESPEED,225/40R18,225/40R18
ASTON MARTIN,DB11,4.0 V8,255/40R20,295/35R20
ASTON MARTIN,DB11,5.2 V12,255/40R20,295/35R20
ASTON MARTIN,DB9,6.0 COUPE GT,245/35R20,295/30R20
ASTON MARTIN,DBX,4.0 4WD AUTO,285/40R22,325/35R22
ASTON MARTIN,RAPIDE,6.0 TOUCHTRONIC AUTO,245/40R20,295/35R20
ASTON MARTIN,VANQUISH,6.0 AUTO,255/35R20,305/30R20
ASTON MARTIN,VANTAGE,4.0 V8 AUTO,255/40R20,295/35R20
AUDI,A1,1.0 25 TFSI S TRONIC,185/60R15,185/60R15
AUDI,A1,1.0 30 TFSI S TRONIC S LINE SPORTBACK,195/55R16,195/55R16
AUDI,A1,1.0 30 TFSI S TRONIC SPORTBACK,185/65R15,185/65R15
AUDI,A1,1.4 30 TFSI S TRONIC,215/45R16,215/45R16
AUDI,A1,1.4 TFSI S TRONIC SPORTBACK,215/40R17,215/40R17
AUDI,A1,1.8 40 TFSI S TRONIC SPORTBACK,215/40R17,215/40R17
AUDI,A3,1.0 30 TFSI MHEV S TRONIC SPORTBACK,225/45R17,225/45R17
AUDI,A3,1.4 30 TFSI S TRONIC,205/55R16,205/55R16
AUDI,A3,1.4 35 TFSI S TRONIC SPORTBACK,225/45R17,225/45R17
AUDI,A3,1.5 35 TFSI MHEV S TRONIC SB ADVANCED,225/45R17,225/45R17
AUDI,A3,1.5 35 TFSI MHEV S TRONIC SB S-LINE,225/40R18,225/40R18
AUDI,A3,1.5 35 TFSI MHEV S TRONIC SPORTBACK,225/45R17,225/45R17
AUDI,A3,1.8 40 TFSI S TRONIC,225/45R17,225/45R17
AUDI,A3,1.8 40 TFSI S TRONIC SPORTBACK,205/55R16,205/55R16
AUDI,A3,1.8 TFSI S TRONIC,225/45R17,225/45R17
AUDI,A3,1.8 TFSI S TRONIC BLACK STYLING EDITION,225/40R18,225/40R18
